ID,Level,Category,Has Code Fix,Help Link,Title,Message Format
SD0101,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0101?sort_id=3599824,A property named 'Properties' expected.,
SD0102,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0102?sort_id=3599808,The property 'Properties' must be public.,
SD0103,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0103?sort_id=3621783,The property 'Properties' must be static.,
SD0104,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0104?sort_id=3599816,The property 'Properties' must be read-only.,
SD0105,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0105?sort_id=3599818,The property 'Properties' has a wrong type.,The property 'Properties' must be of type 'Sudoku.Solving.Manual.TechiqueProperties'.
SD0106,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0106?sort_id=3599826,The property 'Properties' can't be null.,The property 'Properties' can't be null; try to remove the nullable annotation '?'.
SD0107,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0107?sort_id=3602787,The property 'Properties' must contain an initializer.,
SD0108,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0108?sort_id=3607697,The property 'Properties' must be initialized by a new clause.,The property 'Properties' must be initialized by a new clause; try to initialize it with 'new(...)' or 'new TechniqueProperties(...)' instead.
SD0201,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0201?sort_id=3608009,The specified key can't be found in the resource dictionary.,The specified key '{0}' can't be found in the resource dictionary; please check whether your input is valid.
SD0202,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0202?sort_id=3610020,The specified method can't be found and called.,"The specified method '{0}' can't be found and called; all supported methods are 'Serialize', 'Deserialize' and 'ChangeLanguage'".
SD0203,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0203?sort_id=3610022,The number of arguments dismatched in this dynamically invocation.,"The method '{0}' expects {1} argument(s), but your input contains {2} argument(s)".
SD0204,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0204?sort_id=3610347,The argument type dismatched in this dynamically invocation.,"This argument in the method '{0}' must be of type '{1}', but the actual type is '{2}'".
SD0205,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0205?sort_id=3610364,"The method returns void, but you make it an rvalue expression".,"The method '{0}' returns void, but you make it a rvalue expression".
SD0206,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0206?sort_id=4018391,The specified dynamic invocation method doesn't exist.,The dynamic invocation method name '{0}' doesn't exist.
SD0301,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0301?sort_id=3614979,The member can't be invoked because they are reserved.,The member '{0}' can't be invoked because they are reserved.
SD0302,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0302?sort_id=3625575,Replace 'Count == 0' or 'Count != 0' with 'IsEmpty' or '!IsEmpty'.,Replace '{0}.Count {1} 0' with '{2}{0}.IsEmpty'.
SD0303,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0303?sort_id=3630107,Please use the default-value field to avoid instantiation.,Please use the read-only field '{0}.{1}' to avoid instantiation.
SD0304,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0304?sort_id=4035455,Please use the specific property to simplify the invocation.,Please use the property '{2}{0}.{1}' to simplify the invocation.
SD0305,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0305?sort_id=4041611,The input value in this initializer is invalid.,
SD0306,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0306?sort_id=4041904,The remove expression in the initializer following with the current constructor has no effect.,The remove expression in the initializer following with the constructor '{0}.{0}()' has no effect.
SD0307,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0307?sort_id=4041633,The expression can be simplified.,The expression can be simplified to '{0}'.
SD0308,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0308?sort_id=4042333,The initializer contains the duplicate value.,The initializer contains the duplicate value '{0}'.
SD0309,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0308?sort_id=4041633,'stackalloc' or 'new' expression is unnecessary; Please use object initializer instead.,'{0}' expression is unnecessary; Please use object initializer instead.
SD0310,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0310?sort_id=4050196,"Please add the format string as the argument into the method invocation of SudokuGrid, such as '.' for default case, or '#' for intelligent-handling case".,
SD0311,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0311?sort_id=4050414,Invalid format string in 'SudokuGrid.ToString'.,Invalid format string in SudokuGrid.ToString.
SD0401,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0401?sort_id=4021986,Please use nameof expression instead.,
SD0402,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SD0402?sort_id=4024928,This attribute must contain the specified number of parameters.,'{0}' must contain at least {1} parameters.
SS0101,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0101?sort_id=3622115,Please add 'ToString' method invocation to the interpolation part in order to prevent any box and unbox operations.,
SS0102,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0102?sort_id=3629641,Unnecessary interpolation leading character '$'.,
SS0201,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0201?sort_id=3622127,"The result of the expression '.ctor(void*, int)' can't be the return value as any methods".,"The result of the expression '{0}.{0}(void*, int)' can't be the return value as any methods".
SS0301,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0301?sort_id=3625073,Replace 'Count() >= value' with 'Take(value).Count() >= value'.,Replace 'Count() >= {0}' with 'Take({0}).Count() >= {0}'.
SS0401,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0401?sort_id=4019214,Can't apply the operator here because the type is closed enum.,Can't apply 'operator {0}' here because the type is closed enum.
SS0402,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0402?sort_id=4038390,The enum field must holds a flag value if the enum is marked 'FlagsAttribute'.,
SS0403,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0403?sort_id=4038535,The enum field must holds a explicitly-wroten value if the enum is marked 'FlagsAttribute'.,
SS0501,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0501?sort_id=4025282,Deconstruction methods should contain at least 2 parameters.,
SS0502,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0502?sort_id=4025301,Deconstruction methods must be instance ones.,
SS0503,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0503?sort_id=4025305,Deconstruction methods must return void.,
SS0504,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0504?sort_id=4025793,Deconstruction methods must be public.,
SS0505,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0505?sort_id=4025794,All parameters in deconstruction methods should be out parameters.,
SS0506,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0506?sort_id=4056812,"The assignment statement isn't a simple variable one, but an expression".,The expression '{0}' should be a simple variable in deconstruction method assignments.
